pod_name,,pid,comm,cpu_activity
active-0,0,8,python,
active-0,1,8,python,
active-0,2,8,python,
active-0,3,8,python,
active-0,4,8,python,0.0758353472738196
active-0,5,8,python,0.0720148680390806
active-0,6,8,python,
active-0,7,8,python,0.0743685122330359
active-0,8,8,python,
active-0,9,8,python,0.075155410465643
active-0,10,8,python,
active-1,0,8,python,
active-1,1,8,python,
active-1,2,8,python,0.0009606936529179
active-1,3,8,python,0.0010318774831568
active-1,4,8,python,0.0009824243668405
active-1,5,8,python,0.0009211695713734
active-1,6,8,python,0.0010010582499996
active-1,7,8,python,0.0010101060796532
active-1,8,8,python,0.0008154467768053
active-1,9,8,python,0.0010268194717904
active-1,10,8,python,0.0010193786137059
active-10,0,8,python,
active-10,1,8,python,
active-10,2,8,python,0.0260145636156301
active-10,3,8,python,0.0238471372516754
active-10,4,8,python,0.0235176948831628
active-10,5,8,python,0.025251430256529
active-10,6,8,python,0.0240653344753388
active-10,7,8,python,0.0232957375682947
active-10,8,8,python,0.024615720253128
active-10,9,8,python,0.0227562943272557
active-11,0,8,python,
active-11,1,8,python,0.0006975171983566
active-11,2,8,python,0.0007540394490544
active-11,3,8,python,0.0006869362852223
active-11,4,8,python,0.0007157509879429
active-11,5,8,python,0.0007018582886545
active-11,6,8,python,0.0007073929773121
active-11,7,8,python,0.0007120597680573
active-11,8,8,python,0.0007143153127806
active-11,9,8,python,0.0007180135234909
active-12,0,8,python,
active-12,1,8,python,0.02211579738846
active-12,2,8,python,0.0239403648850255
active-12,3,8,python,0.0232142795081648
active-12,4,8,python,0.0223310888823979
active-12,5,8,python,
active-12,6,8,python,0.0237619699881063
active-12,7,8,python,0.0243401169801032
active-12,8,8,python,0.0259186362175669
active-12,9,8,python,0.0271796423703338
active-13,0,8,python,
active-13,1,8,python,
active-13,2,8,python,
active-13,3,8,python,0.0247539833736563
active-13,4,8,python,0.0233626788013861
active-13,5,8,python,0.0235756567790703
active-13,6,8,python,0.024394080617921
active-13,7,8,python,0.0225841062663968
active-13,8,8,python,0.0228576644705089
active-13,9,8,python,0.02484734806511
active-14,0,8,python,
active-14,1,8,python,
active-14,2,8,python,0.0685622752941905
active-14,3,8,python,
active-14,4,8,python,0.0694154665416899
active-14,5,8,python,
active-14,6,8,python,0.0733004160507462
active-14,7,8,python,0.0738566717530639
active-14,8,8,python,
active-14,9,8,python,
active-15,0,8,python,
active-15,1,8,python,0.0006987121988323
active-15,2,8,python,0.0008538923798987
active-15,3,8,python,0.0006842991739775
active-15,4,8,python,0.0007208814332068
active-15,5,8,python,0.0006965551120329
active-15,6,8,python,0.0007094536044616
active-15,7,8,python,0.0006118781849918
active-15,8,8,python,0.0007108758460214
active-15,9,8,python,0.0008205752649117
active-16,0,8,python,
active-16,1,8,python,0.0009607409747552
active-16,2,8,python,0.0010437401549746
active-16,3,8,python,0.000879759583556
active-16,4,8,python,0.0011328997467737
active-16,5,8,python,0.0008955294307311
active-16,6,8,python,0.0010141895214197
active-16,7,8,python,0.0010194181162663
active-16,8,8,python,0.000913733448783
active-16,9,8,python,0.0009230919067286
active-17,0,8,python,
active-17,1,8,python,0.000874163880334
active-17,2,8,python,0.0009487490796144
active-17,3,8,python,0.0010763083317055
active-17,4,8,python,0.0009260075222539
active-17,5,8,python,0.0008955458470653
active-17,6,8,python,0.0010141548025663
active-17,7,8,python,0.0009175330080609
active-17,8,8,python,0.0010151595735636
active-17,9,8,python,0.0009231886959533
active-18,0,8,python,
active-18,1,8,python,0.0732979724516294
active-18,2,8,python,
active-18,3,8,python,
active-18,4,8,python,
active-18,5,8,python,
active-18,6,8,python,
active-18,7,8,python,
active-18,8,8,python,
active-18,9,8,python,
active-19,0,8,python,
active-19,1,8,python,0.0010535253964672
active-19,2,8,python,0.0009452726702597
active-19,3,8,python,0.0009783889179458
active-19,4,8,python,0.0010278808121883
active-19,5,8,python,0.0009960297129416
active-19,6,8,python,0.0010141837903645
active-19,7,8,python,0.0010194294864556
active-19,8,8,python,0.0010152618966539
active-19,9,8,python,0.0009221348291957
active-2,0,8,python,
active-2,1,8,python,
active-2,2,8,python,
active-2,3,8,python,
active-2,4,8,python,
active-2,5,8,python,
active-2,6,8,python,
active-2,7,8,python,
active-2,8,8,python,
active-2,9,8,python,0.0726059542688493
active-20,0,8,python,
active-20,1,8,python,0.0009632707921641
active-20,2,8,python,0.0009461089263283
active-20,3,8,python,0.0009775476401828
active-20,4,8,python,0.0011305580052048
active-20,5,8,python,0.0009979447872173
active-20,6,8,python,0.0010143235367115
active-20,7,8,python,0.0010193063926865
active-20,8,8,python,0.0009137125680998
active-20,9,8,python,0.0009260130308501
active-21,0,8,python,
active-21,1,8,python,0.0246708958553207
active-21,2,8,python,0.025237179146617
