,pod_name,avg_activity,max_activity,min_activity
0,active-0,0.074,0.076,0.072
1,active-1,0.001,0.001,0.001
2,active-10,0.024,0.026,0.023
3,active-11,0.001,0.001,0.001
4,active-12,0.024,0.027,0.022
5,active-13,0.024,0.025,0.023
6,active-14,0.071,0.074,0.069
7,active-15,0.001,0.001,0.001
8,active-16,0.001,0.001,0.001
9,active-17,0.001,0.001,0.001
10,active-18,0.073,0.073,0.073
11,active-19,0.001,0.001,0.001
12,active-2,0.073,0.073,0.073
13,active-20,0.001,0.001,0.001
14,active-21,0.024,0.026,0.023
15,active-22,0.001,0.001,0.001
16,active-23,0.074,0.076,0.072
17,active-24,0.076,0.076,0.076
18,active-25,0.001,0.001,0.001
19,active-26,0.001,0.002,0.001
20,active-27,0.071,0.072,0.071
21,active-28,0.001,0.001,0.001
22,active-29,0.001,0.001,0.001
23,active-3,0.07,0.071,0.069
24,active-30,0.039,0.04,0.037
25,active-31,0.001,0.001,0.001
26,active-32,0.024,0.027,0.023
27,active-33,0.024,0.027,0.023
28,active-34,0.001,0.001,0.001
29,active-35,0.025,0.026,0.024
30,active-36,0.001,0.002,0.001
31,active-37,0.072,0.073,0.071
32,active-38,0.001,0.001,0.001
33,active-39,0.001,0.001,0.001
34,active-4,0.072,0.074,0.07
35,active-40,0.04,0.043,0.038
36,active-41,0.025,0.027,0.024
37,active-42,0.001,0.001,0.001
38,active-43,0.001,0.002,0.001
39,active-44,0.025,0.026,0.023
40,active-45,0.001,0.001,0.001
41,active-46,0.038,0.041,0.035
42,active-47,0.038,0.04,0.036
43,active-48,0.072,0.073,0.07
44,active-49,0.001,0.001,0.001
45,active-5,0.001,0.001,0.001
46,active-50,0.001,0.001,0.001
47,active-51,0.039,0.04,0.036
48,active-52,0.001,0.001,0.001
49,active-53,0.037,0.042,0.034
50,active-54,0.001,0.001,0.001
51,active-55,0.001,0.001,0.001
52,active-56,0.039,0.041,0.037
53,active-57,0.037,0.039,0.035
54,active-58,0.039,0.042,0.037
55,active-59,0.074,0.075,0.073
56,active-6,0.001,0.001,0.001
57,active-60,0.039,0.041,0.037
58,active-61,0.024,0.026,0.022
59,active-62,0.002,0.002,0.002
60,active-63,0.041,0.043,0.037
61,active-64,0.001,0.001,0.001
62,active-65,0.039,0.04,0.037
63,active-66,0.04,0.042,0.038
64,active-67,0.024,0.025,0.023
65,active-68,0.024,0.026,0.023
66,active-7,0.001,0.001,0.001
67,active-8,0.001,0.001,0.001
68,active-9,0.001,0.001,0.001
69,idle-0,0.0,0.0,0.0
70,idle-1,0.0,0.0,0.0
71,idle-10,0.0,0.0,0.0
72,idle-11,0.0,0.0,0.0
73,idle-12,0.0,0.0,0.0
74,idle-13,0.0,0.0,0.0
75,idle-14,0.0,0.0,0.0
76,idle-15,0.0,0.0,0.0
77,idle-16,0.0,0.0,0.0
78,idle-17,0.0,0.0,0.0
79,idle-18,0.0,0.0,0.0
80,idle-19,0.0,0.0,0.0
81,idle-2,0.0,0.0,0.0
82,idle-20,0.0,0.0,0.0
83,idle-21,0.0,0.0,0.0
84,idle-22,0.0,0.0,0.0
85,idle-23,0.0,0.0,0.0
86,idle-24,0.0,0.0,0.0
87,idle-25,0.0,0.0,0.0
88,idle-26,0.0,0.0,0.0
89,idle-27,0.0,0.0,0.0
90,idle-28,0.0,0.0,0.0
91,idle-29,0.0,0.0,0.0
92,idle-3,0.0,0.0,0.0
93,idle-30,0.0,0.0,0.0
94,idle-4,0.0,0.0,0.0
95,idle-5,0.0,0.0,0.0
96,idle-6,0.0,0.0,0.0
97,idle-7,0.0,0.0,0.0
98,idle-8,0.0,0.0,0.0
99,idle-9,0.0,0.0,0.0
