pod_name,,state,reason,cpu_activity
active-0,0,IDLE,cpu_activity_None,
active-0,1,ACTIVE,low_cpu_activity_1h,0.001
active-0,2,ACTIVE,low_cpu_activity_1h,0.001
active-0,3,ACTIVE,low_cpu_activity_1h,0.001
active-0,4,ACTIVE,low_cpu_activity_1h,0.001
active-0,5,ACTIVE,low_cpu_activity_1h,0.001
active-0,6,ACTIVE,low_cpu_activity_1h,0.001
active-0,7,ACTIVE,low_cpu_activity_1h,0.001
active-0,8,ACTIVE,low_cpu_activity_1h,0.001
active-0,9,ACTIVE,low_cpu_activity_1h,0.001
active-1,0,IDLE,cpu_activity_None,
active-1,1,ACTIVE,Running_state,0.074
active-1,2,ACTIVE,Running_state,0.069
active-1,3,ACTIVE,Running_state,0.072
active-1,4,ACTIVE,Running_state,0.077
active-1,5,ACTIVE,Running_state,0.071
active-1,6,ACTIVE,Running_state,0.075
active-1,7,ACTIVE,high_cpu_activity,0.072
active-1,8,ACTIVE,Running_state,0.073
active-1,9,ACTIVE,high_cpu_activity,0.069
active-10,0,IDLE,cpu_activity_None,
active-10,1,ACTIVE,low_cpu_activity_1h,0.001
active-10,2,ACTIVE,low_cpu_activity_1h,0.001
active-10,3,ACTIVE,low_cpu_activity_1h,0.001
active-10,4,ACTIVE,low_cpu_activity_1h,0.001
active-10,5,ACTIVE,low_cpu_activity_1h,0.001
active-10,6,ACTIVE,low_cpu_activity_1h,0.001
active-10,7,ACTIVE,low_cpu_activity_1h,0.001
active-10,8,ACTIVE,low_cpu_activity_1h,0.001
active-10,9,ACTIVE,low_cpu_activity_1h,0.001
active-11,0,IDLE,cpu_activity_None,
active-11,1,ACTIVE,high_cpu_activity,0.025
active-11,2,ACTIVE,high_cpu_activity,0.026
active-11,3,ACTIVE,high_cpu_activity,0.026
active-11,4,ACTIVE,Running_state,0.025
active-11,5,ACTIVE,high_cpu_activity,0.023
active-11,6,ACTIVE,Running_state,0.023
active-11,7,ACTIVE,high_cpu_activity,0.024
active-11,8,ACTIVE,high_cpu_activity,0.022
active-11,9,ACTIVE,Running_state,0.022
active-12,0,ACTIVE,Running_state,
active-12,1,ACTIVE,Running_state,0.071
active-12,2,ACTIVE,Running_state,0.075
active-12,3,ACTIVE,Running_state,0.075
active-12,4,ACTIVE,high_cpu_activity,0.072
active-12,5,ACTIVE,Running_state,0.073
active-12,6,ACTIVE,Running_state,0.07
active-12,7,ACTIVE,Running_state,0.076
active-12,8,ACTIVE,Running_state,0.074
active-12,9,ACTIVE,high_cpu_activity,0.074
active-13,0,IDLE,cpu_activity_None,
active-13,1,ACTIVE,low_cpu_activity_1h,0.001
active-13,2,ACTIVE,low_cpu_activity_1h,0.001
active-13,3,ACTIVE,low_cpu_activity_1h,0.001
active-13,4,ACTIVE,low_cpu_activity_1h,0.001
active-13,5,ACTIVE,low_cpu_activity_1h,0.001
active-13,6,ACTIVE,low_cpu_activity_1h,0.001
active-13,7,ACTIVE,low_cpu_activity_1h,0.001
active-13,8,ACTIVE,low_cpu_activity_1h,0.001
active-13,9,ACTIVE,low_cpu_activity_1h,0.001
active-14,0,IDLE,cpu_activity_None,
active-14,1,ACTIVE,high_cpu_activity,0.022
active-14,2,ACTIVE,high_cpu_activity,0.023
active-14,3,ACTIVE,high_cpu_activity,0.024
active-14,4,ACTIVE,high_cpu_activity,0.025
active-14,5,ACTIVE,high_cpu_activity,0.023
active-14,6,ACTIVE,high_cpu_activity,0.022
active-14,7,ACTIVE,high_cpu_activity,0.023
active-14,8,ACTIVE,high_cpu_activity,0.025
active-14,9,ACTIVE,high_cpu_activity,0.024
active-15,0,IDLE,cpu_activity_None,
active-15,1,ACTIVE,Running_state,0.072
active-15,2,ACTIVE,high_cpu_activity,0.071
active-15,3,ACTIVE,high_cpu_activity,0.071
active-15,4,ACTIVE,high_cpu_activity,0.071
active-15,5,ACTIVE,Running_state,0.073
active-15,6,ACTIVE,Running_state,0.073
active-15,7,ACTIVE,Running_state,0.072
active-15,8,ACTIVE,Running_state,0.072
active-15,9,ACTIVE,high_cpu_activity,0.073
active-16,0,IDLE,cpu_activity_None,
