pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-0,2025-09-18_192053,2,2,0,0,0
active-1,2025-09-18_192055,2,2,0,0,0
active-0,2025-09-18_193733,2,2,0,0,0
active-1,2025-09-18_193734,2,2,0,0,0
active-10,2025-09-18_193734,2,2,0,0,0
active-11,2025-09-18_193734,2,2,0,0,0
active-12,2025-09-18_193735,2,2,0,0,0
active-13,2025-09-18_193735,2,2,0,0,0
active-14,2025-09-18_193736,2,2,0,0,0
active-15,2025-09-18_193736,2,2,0,0,0
active-16,2025-09-18_193737,2,2,0,0,0
active-17,2025-09-18_193737,2,2,0,0,0
active-18,2025-09-18_193738,2,2,0,0,0
active-19,2025-09-18_193738,2,2,0,0,0
active-2,2025-09-18_193739,2,2,0,0,0
active-20,2025-09-18_193739,2,2,0,0,0
active-21,2025-09-18_193740,2,2,0,0,0
active-22,2025-09-18_193740,2,2,0,0,0
active-23,2025-09-18_193741,2,2,0,0,0
active-24,2025-09-18_193742,2,2,0,0,0
active-25,2025-09-18_193742,2,2,0,0,0
active-26,2025-09-18_193743,2,2,0,0,0
active-27,2025-09-18_193744,2,2,0,0,0
active-28,2025-09-18_193744,2,2,0,0,0
active-29,2025-09-18_193744,2,2,0,0,0
active-3,2025-09-18_193745,2,2,0,0,0
active-30,2025-09-18_193746,2,2,0,0,0
active-31,2025-09-18_193747,2,2,0,0,0
active-32,2025-09-18_193747,2,2,0,0,0
active-33,2025-09-18_193748,2,2,0,0,0
active-34,2025-09-18_193749,2,2,0,0,0
active-35,2025-09-18_193749,2,2,0,0,0
active-36,2025-09-18_193750,2,2,0,0,0
active-37,2025-09-18_193751,2,2,0,0,0
active-38,2025-09-18_193751,2,2,0,0,0
active-39,2025-09-18_193752,2,2,0,0,0
active-4,2025-09-18_193752,2,2,0,0,0
active-40,2025-09-18_193753,2,2,0,0,0
active-41,2025-09-18_193754,2,2,0,0,0
active-42,2025-09-18_193754,2,2,0,0,0
active-43,2025-09-18_193755,2,2,0,0,0
active-44,2025-09-18_193755,2,2,0,0,0
active-45,2025-09-18_193756,2,2,0,0,0
active-46,2025-09-18_193757,2,2,0,0,0
active-47,2025-09-18_193758,2,2,0,0,0
active-48,2025-09-18_193759,2,2,0,0,0
active-49,2025-09-18_193800,2,2,0,0,0
active-5,2025-09-18_193800,2,2,0,0,0
active-50,2025-09-18_193801,2,2,0,0,0
active-51,2025-09-18_193802,2,2,0,0,0
active-52,2025-09-18_193803,2,2,0,0,0
active-53,2025-09-18_193804,2,2,0,0,0
active-54,2025-09-18_193804,2,2,0,0,0
active-55,2025-09-18_193804,2,2,0,0,0
active-56,2025-09-18_193806,2,2,0,0,0
active-57,2025-09-18_193807,2,2,0,0,0
active-58,2025-09-18_193808,2,2,0,0,0
active-59,2025-09-18_193809,2,2,0,0,0
active-6,2025-09-18_193809,2,2,0,0,0
active-60,2025-09-18_193810,2,2,0,0,0
active-61,2025-09-18_193810,2,2,0,0,0
active-62,2025-09-18_193810,2,2,0,0,0
active-63,2025-09-18_193811,2,2,0,0,0
active-64,2025-09-18_193811,2,2,0,0,0
active-65,2025-09-18_193812,2,2,0,0,0
active-66,2025-09-18_193813,2,2,0,0,0
active-67,2025-09-18_193813,2,2,0,0,0
active-68,2025-09-18_193813,2,2,0,0,0
active-7,2025-09-18_193814,2,2,0,0,0
active-8,2025-09-18_193814,2,2,0,0,0
active-9,2025-09-18_193814,2,2,0,0,0
idle-0,2025-09-18_193815,2,2,0,0,0
idle-1,2025-09-18_193815,2,2,0,0,0
idle-10,2025-09-18_193816,2,2,0,0,0
idle-11,2025-09-18_193816,2,2,0,0,0
idle-12,2025-09-18_193817,2,2,0,0,0
idle-13,2025-09-18_193817,2,2,0,0,0
idle-14,2025-09-18_193817,2,2,0,0,0
idle-15,2025-09-18_193818,2,2,0,0,0
idle-16,2025-09-18_193818,2,2,0,0,0
idle-17,2025-09-18_193819,2,2,0,0,0
idle-18,2025-09-18_193819,2,2,0,0,0
idle-19,2025-09-18_193819,2,2,0,0,0
idle-2,2025-09-18_193820,2,2,0,0,0
idle-20,2025-09-18_193820,2,2,0,0,0
idle-21,2025-09-18_193820,2,2,0,0,0
idle-22,2025-09-18_193821,2,2,0,0,0
idle-23,2025-09-18_193821,2,2,0,0,0
idle-24,2025-09-18_193821,2,2,0,0,0
idle-25,2025-09-18_193822,2,2,0,0,0
idle-26,2025-09-18_193822,2,2,0,0,0
idle-27,2025-09-18_193822,2,2,0,0,0
idle-28,2025-09-18_193823,2,2,0,0,0
idle-29,2025-09-18_193823,2,2,0,0,0
idle-3,2025-09-18_193823,2,2,0,0,0
idle-30,2025-09-18_193824,2,2,0,0,0
idle-4,2025-09-18_193824,2,2,0,0,0
idle-5,2025-09-18_193825,2,2,0,0,0
idle-6,2025-09-18_193825,2,2,0,0,0
idle-7,2025-09-18_193826,2,2,0,0,0
idle-8,2025-09-18_193826,2,2,0,0,0
idle-9,2025-09-18_193826,2,2,0,0,0
active-0,2025-09-18_193928,2,2,0,0,0
active-1,2025-09-18_193928,2,2,0,0,0
active-10,2025-09-18_193929,2,2,0,0,0
active-11,2025-09-18_193929,2,2,0,0,0
active-12,2025-09-18_193929,2,2,0,0,0
active-13,2025-09-18_193930,2,2,0,0,0
active-14,2025-09-18_193931,2,2,0,0,0
active-15,2025-09-18_193931,2,2,0,0,0
active-16,2025-09-18_193931,2,2,0,0,0
active-17,2025-09-18_193931,2,2,0,0,0
active-18,2025-09-18_193932,2,2,0,0,0
active-19,2025-09-18_193932,2,2,0,0,0
active-2,2025-09-18_193933,2,2,0,0,0
active-20,2025-09-18_193933,2,2,0,0,0
active-21,2025-09-18_193934,2,2,0,0,0
active-22,2025-09-18_193934,2,2,0,0,0
active-23,2025-09-18_193935,2,2,0,0,0
active-24,2025-09-18_193936,2,2,0,0,0
active-25,2025-09-18_193936,2,2,0,0,0
active-26,2025-09-18_193937,2,2,0,0,0
active-27,2025-09-18_193938,2,2,0,0,0
active-28,2025-09-18_193938,2,2,0,0,0
active-29,2025-09-18_193938,2,2,0,0,0
