pod_name,timestamp,total,active,idle,gc_candidates,zombie
active-0,20250918_214917,1,1,0,0,0
active-1,20250918_214918,1,0,1,0,0
active-10,20250918_214919,1,1,0,0,0
active-11,20250918_214919,1,0,1,0,0
active-12,20250918_214919,1,0,1,0,0
active-13,20250918_214920,1,0,1,0,0
active-14,20250918_214920,1,0,1,0,0
active-15,20250918_214921,1,1,0,0,0
active-16,20250918_214922,1,0,1,0,0
active-17,20250918_214923,1,1,0,0,0
active-18,20250918_214923,1,0,1,0,0
active-19,20250918_214924,1,1,0,0,0
active-2,20250918_214924,1,0,1,0,0
active-20,20250918_214925,1,1,0,0,0
active-21,20250918_214926,1,0,1,0,0
active-22,20250918_214926,1,0,1,0,0
active-23,20250918_214927,1,0,1,0,0
active-24,20250918_214927,1,0,1,0,0
active-25,20250918_214928,1,1,0,0,0
active-26,20250918_214928,1,0,1,0,0
active-27,20250918_214928,1,0,1,0,0
active-28,20250918_214929,1,0,1,0,0
active-29,20250918_214929,1,0,1,0,0
active-3,20250918_214930,1,0,1,0,0
active-30,20250918_214930,1,0,1,0,0
active-31,20250918_214930,1,0,1,0,0
active-32,20250918_214931,1,1,0,0,0
active-33,20250918_214932,1,0,1,0,0
active-34,20250918_214933,1,0,1,0,0
active-35,20250918_214933,1,0,1,0,0
active-36,20250918_214933,1,0,1,0,0
active-37,20250918_214934,1,0,1,0,0
active-38,20250918_214934,1,0,1,0,0
active-39,20250918_214935,1,0,1,0,0
active-4,20250918_214935,1,0,1,0,0
active-40,20250918_214936,1,1,0,0,0
active-41,20250918_214937,1,0,1,0,0
active-42,20250918_214937,1,0,1,0,0
active-43,20250918_214938,1,0,1,0,0
active-44,20250918_214938,1,0,1,0,0
active-45,20250918_214938,1,0,1,0,0
active-46,20250918_214939,1,0,1,0,0
active-47,20250918_214939,1,0,1,0,0
active-48,20250918_214940,1,0,1,0,0
active-49,20250918_214940,1,0,1,0,0
active-5,20250918_214940,1,0,1,0,0
active-50,20250918_214941,1,0,1,0,0
active-51,20250918_214941,1,0,1,0,0
active-52,20250918_214941,1,0,1,0,0
active-53,20250918_214942,1,0,1,0,0
active-54,20250918_214942,1,0,1,0,0
active-55,20250918_214943,1,0,1,0,0
active-56,20250918_214943,1,0,1,0,0
active-57,20250918_214943,1,0,1,0,0
active-58,20250918_214944,1,0,1,0,0
active-59,20250918_214944,1,0,1,0,0
active-6,20250918_214945,1,1,0,0,0
active-60,20250918_214946,1,0,1,0,0
active-61,20250918_214946,1,1,0,0,0
active-7,20250918_214947,1,1,0,0,0
active-8,20250918_214949,1,1,0,0,0
active-9,20250918_214949,1,1,0,0,0
idle-0,20250918_214950,1,0,1,0,0
idle-1,20250918_214950,1,0,1,0,0
idle-10,20250918_214950,1,0,1,0,0
idle-11,20250918_214951,1,0,1,0,0
idle-12,20250918_214951,1,0,1,0,0
idle-13,20250918_214951,1,0,1,0,0
idle-14,20250918_214952,1,0,1,0,0
idle-15,20250918_214952,1,0,1,0,0
idle-16,20250918_214952,1,0,1,0,0
idle-17,20250918_214953,1,0,1,0,0
idle-18,20250918_214953,1,0,1,0,0
idle-19,20250918_214953,1,0,1,0,0
idle-2,20250918_214954,1,0,1,0,0
idle-20,20250918_214954,1,0,1,0,0
idle-21,20250918_214955,1,0,1,0,0
idle-22,20250918_214955,1,0,1,0,0
idle-23,20250918_214956,1,0,1,0,0
